date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:11:51	7332/7332	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2001%20Jul%202019%2006:09:16%20GMT	http://demo4.sxzywl.net/themes/haixin/public//images/sild1.png	C:/Users/Lion/Desktop/zczl/zczl/demo4.sxzywl.net/themes/haixin/public/images/sild1.8e.delayed	(from http://demo4.sxzywl.net/portal/list/touch/id/2.html?tid=11)
14:11:51	1240/1240	---M--	200	added ('OK')	image/png	etag:%224d8-5846cb6be0878%22	http://demo4.sxzywl.net/themes/haixin/public/assets/images/sild2.png	C:/Users/Lion/Desktop/zczl/zczl/demo4.sxzywl.net/themes/haixin/public/assets/images/sild2.png	(from http://demo4.sxzywl.net/portal/list/touch/id/2.html?tid=11)
14:11:51	1377/1377	---M--	200	added ('OK')	application/javascript	etag:%22561-5846cb6c97640%22	http://demo4.sxzywl.net/themes/haixin/public/assets/js/map.js	C:/Users/Lion/Desktop/zczl/zczl/demo4.sxzywl.net/themes/haixin/public/assets/js/map.js	(from http://demo4.sxzywl.net/portal/list/touch/id/2.html?tid=11)
14:11:53	936/936	---M-Z	404	error ('Not%20Found')	text/html	etag:%223a8-5858ebc722240-gzip%22	https://demo4.sxzywl.net/portal/list/www.zoyuan.net	C:/Users/Lion/Desktop/zczl/zczl/demo4.sxzywl.net/portal/list/www.zoyuan.91.delayed	(from http://demo4.sxzywl.net/portal/list/article_list.html)
14:11:55	47186/47186	---M--	200	added ('OK')	image/png	etag:%22b852-5846cb6ba0138%22	http://demo4.sxzywl.net/themes/haixin/public/assets/images/jiameng_03.png	C:/Users/Lion/Desktop/zczl/zczl/demo4.sxzywl.net/themes/haixin/public/assets/images/jiameng_03.png	(from http://demo4.sxzywl.net/portal/list/invite/id/16.html?tid=10)
14:11:58	602/602	---M-Z	404	error ('Not%20Found')	text/html	etag:%223a8-5858ebc722240-gzip%22	https://demo4.sxzywl.net/robots.txt		(from http://demo4.sxzywl.net/)
14:12:10	222916/222916	UR-M--	200	added ('Partial%20Content')	image/png	etag:%22366c4-5846cb4079720%22	http://demo4.sxzywl.net/upload/admin/20180704/25ac6a9b95fd85c31e2f5cd7763df326.png	C:/Users/Lion/Desktop/zczl/zczl/demo4.sxzywl.net/upload/admin/20180704/25ac6a9b95fd85c31e2f5cd7763df326.png	(from http://demo4.sxzywl.net/)
14:12:12	219711/219711	UR-M--	200	added ('Partial%20Content')	image/png	etag:%2235a3f-5846cb6a57768%22	http://demo4.sxzywl.net/themes/haixin/public/assets/images/about_02.png	C:/Users/Lion/Desktop/zczl/zczl/demo4.sxzywl.net/themes/haixin/public/assets/images/about_02.png	(from http://demo4.sxzywl.net/portal/list/about/id/25.html?tid=3)
14:12:19	1346569/1346569	UR-M--	200	added ('Partial%20Content')	image/png	etag:%22148c09-5846cb41e95d8%22	http://demo4.sxzywl.net/upload/admin/20180704/f8e6ce47a79cf799d6f415cc7bfa0f70.png	C:/Users/Lion/Desktop/zczl/zczl/demo4.sxzywl.net/upload/admin/20180704/f8e6ce47a79cf799d6f415cc7bfa0f70.png	(from http://demo4.sxzywl.net/)
14:12:21	993274/993274	UR-M--	200	added ('Partial%20Content')	image/png	etag:%22f27fa-5846cb6a471b0%22	http://demo4.sxzywl.net/themes/haixin/public/assets/images/about11.png	C:/Users/Lion/Desktop/zczl/zczl/demo4.sxzywl.net/themes/haixin/public/assets/images/about11.png	(from http://demo4.sxzywl.net/portal/list/about/id/25.html?tid=3)
